tenant_key,source_file,source_type,source_owner,source_date,as_of_date,confidentiality,domains_covered,row_count_or_pages,quality_notes,approved_for_loading,known_gaps,original_source_file,original_packet,original_row_number,original_row_id,source_classification,source_fingerprint,consolidation_rule_used,conflict_status,evidence_id,business_name,context_item,dimension,evidence_type,evidence_location,evidence_owner,evidence_boundary,module_usage_notes
skyharbor-air,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/13_evidence_sources.csv,ServiceNow CMDB export,VP Enterprise Architecture,,2026-07-31,synthetic_demo_planning_grade_no_real_airline_production_data,applications_systems; infrastructure_platforms,,Synthetic CMDB extract structured to mirror ServiceNow's configuration-item schema,false,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/13_evidence_sources.csv,universal-standard-v3,2,EVID-0001,synthetic-demo,3b470c6a2e5a72dfbf6cc181ec5e91b2741e2b83600d22649c75b01bf71911cd,enriched_dense_synthetic_generation_2026_07,none,EVID-0001,ServiceNow CMDB,application/CI inventory,04_applications_systems,system_of_record_extract,ServiceNow CMDB export,VP Enterprise Architecture,IT-governed assets only,Feeds application and infrastructure inventory rows
skyharbor-air,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/13_evidence_sources.csv,Amadeus Altéa Suite contract & usage extract,VP Distribution & E-Commerce,,2026-07-31,synthetic_demo_planning_grade_no_real_airline_production_data,applications_systems; vendors_contracts,,Synthetic contract/usage figures structured to mirror an Amadeus account extract,false,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/13_evidence_sources.csv,universal-standard-v3,3,EVID-0002,synthetic-demo,36308d4a6a7ff44f9ccc11d35de5484a7e2c7036575a6fd08645002ff77d18d7,enriched_dense_synthetic_generation_2026_07,none,EVID-0002,Amadeus Altéa Suite,PSS contract and usage,04_applications_systems,vendor_account_extract,Amadeus account team extract,VP Distribution & E-Commerce,PSS/DCS/Reservations only,Feeds Altéa Inventory/Reservations/DCS rows
skyharbor-air,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/13_evidence_sources.csv,Jeppesen/AIMS flight & crew systems extract,VP Flight & Crew Systems,,2026-07-31,synthetic_demo_planning_grade_no_real_airline_production_data,applications_systems,,Synthetic extract structured to mirror a Jeppesen account review package,false,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/13_evidence_sources.csv,universal-standard-v3,4,EVID-0003,synthetic-demo,3dfbf9d128c83c9a8c6c460b2fea77121f4b27c1b822ce203ba27544b96e2f66,enriched_dense_synthetic_generation_2026_07,none,EVID-0003,Jeppesen (Boeing Digital Aviation),flight/crew systems contract and usage,04_applications_systems,vendor_account_extract,Jeppesen account team extract,VP Flight & Crew Systems,Flight ops and crew systems only,Feeds JetPlan/AIMS/EFB rows
skyharbor-air,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/13_evidence_sources.csv,TRAX MRO system extract,Director MRO Systems,,2026-07-31,synthetic_demo_planning_grade_no_real_airline_production_data,applications_systems,,Synthetic extract structured to mirror a TRAX admin console export,false,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/13_evidence_sources.csv,universal-standard-v3,5,EVID-0004,synthetic-demo,bdd3fd20c6a71bad86f3021766f1423712e2d1d02fac37ebac97b8bc0a0073db,enriched_dense_synthetic_generation_2026_07,none,EVID-0004,Trax USA Corp,MRO system inventory and usage,04_applications_systems,vendor_account_extract,TRAX admin console export,Director MRO Systems,MRO systems only,Feeds TRAX module rows
skyharbor-air,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/13_evidence_sources.csv,SAP S/4HANA landscape extract,VP Enterprise Applications,,2026-07-31,synthetic_demo_planning_grade_no_real_airline_production_data,applications_systems; spend_value,,Synthetic extract structured to mirror an SAP Solution Manager landscape report,false,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/13_evidence_sources.csv,universal-standard-v3,6,EVID-0005,synthetic-demo,bf85b9221f041d1ee3cc0c76fb4c24c2265e159c838e494f4e2862126efd8333,enriched_dense_synthetic_generation_2026_07,none,EVID-0005,SAP SE,ERP module inventory,04_applications_systems,system_of_record_extract,SAP Solution Manager landscape report,VP Enterprise Applications,ERP core modules only,Feeds SAP FI/CO/MM/Treasury/Fixed Assets rows
skyharbor-air,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/13_evidence_sources.csv,Workday tenant configuration extract,VP Enterprise Applications,,2026-07-31,synthetic_demo_planning_grade_no_real_airline_production_data,applications_systems,,Synthetic extract structured to mirror a Workday tenant configuration report,false,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/13_evidence_sources.csv,universal-standard-v3,7,EVID-0006,synthetic-demo,d6897f889727219b57a772f9a4c42e0e6ea8bcb23a4466fb9bfd56b13809fdc8,enriched_dense_synthetic_generation_2026_07,none,EVID-0006,Workday Inc.,HCM module inventory,04_applications_systems,vendor_account_extract,Workday tenant configuration report,VP Enterprise Applications,HCM modules only,Feeds Workday Core HR/Payroll/Recruiting/Learning rows
skyharbor-air,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/13_evidence_sources.csv,Genesys Cloud CX platform admin export,Director Contact Center & CX Technology,,2026-07-31,synthetic_demo_planning_grade_no_real_airline_production_data,applications_systems; infrastructure_platforms,,Synthetic extract structured to mirror a Genesys Cloud admin console export,false,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/13_evidence_sources.csv,universal-standard-v3,8,EVID-0007,synthetic-demo,d60e66e0f5c7b8e4edfdd6078d75081fa02e1e12e3fc1668bad9de4c7715b068,enriched_dense_synthetic_generation_2026_07,none,EVID-0007,Genesys Cloud Services,contact center platform inventory and usage,04_applications_systems,vendor_account_extract,Genesys Cloud admin console export,Director Contact Center & CX Technology,Contact center platform only,Feeds Genesys Cloud CX/WFM/PureConnect rows
skyharbor-air,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/13_evidence_sources.csv,Teradata DBA capacity report,VP Data & AI Platforms,,2026-07-31,synthetic_demo_planning_grade_no_real_airline_production_data,infrastructure_platforms; applications_systems,,Synthetic extract structured to mirror a Teradata Viewpoint capacity report,false,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/13_evidence_sources.csv,universal-standard-v3,9,EVID-0008,synthetic-demo,98612f4e6e5fc0b98ded4c9fcb88beb0c4a44aa214f507772376ad4604ce09b7,enriched_dense_synthetic_generation_2026_07,none,EVID-0008,Teradata Corporation,warehouse appliance capacity,06_infrastructure_platforms,system_of_record_extract,Teradata Viewpoint capacity report,VP Data & AI Platforms,Teradata appliance only,Feeds Teradata subject-area rows
skyharbor-air,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/13_evidence_sources.csv,Snowflake account usage report,VP Data & AI Platforms,,2026-07-31,synthetic_demo_planning_grade_no_real_airline_production_data,infrastructure_platforms; applications_systems,,Synthetic extract structured to mirror a Snowflake ACCOUNT_USAGE schema query,false,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/13_evidence_sources.csv,universal-standard-v3,10,EVID-0009,synthetic-demo,c3f945e05c0e8f7170016bbc0537336a6c7018641361bc35c0fcc50d9e54ece0,enriched_dense_synthetic_generation_2026_07,none,EVID-0009,Snowflake Inc.,cloud data platform consumption,06_infrastructure_platforms,system_of_record_extract,Snowflake ACCOUNT_USAGE export,VP Data & AI Platforms,Snowflake account only,Feeds Snowflake domain rows
skyharbor-air,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/13_evidence_sources.csv,Databricks workspace admin export,VP Data & AI Platforms,,2026-07-31,synthetic_demo_planning_grade_no_real_airline_production_data,infrastructure_platforms; applications_systems,,Synthetic extract structured to mirror a Databricks account console export,false,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/13_evidence_sources.csv,universal-standard-v3,11,EVID-0010,synthetic-demo,c0ca9f60d91abf1f76a55f211f804fb6c89e3742a8285033da04ca0f1be8430c,enriched_dense_synthetic_generation_2026_07,none,EVID-0010,Databricks Inc.,lakehouse workspace inventory,06_infrastructure_platforms,system_of_record_extract,Databricks account console export,VP Data & AI Platforms,Databricks workspaces only,Feeds Databricks workspace rows
