tenant_key,data_asset_name,data_domain,source_system,target_system,integration_type,platform_or_database,current_state_or_target_state,refresh_frequency,data_owner,data_steward,quality_status,regulated_data_flag,analytics_usage,source_file,source_date,confidence,known_gaps,original_source_file,original_packet,original_row_number,original_row_id,source_classification,source_fingerprint,consolidation_rule_used,conflict_status,data_asset_id
skyharbor-air,Seat inventory and booking class data,"Distribution, Sales & E-Commerce",APP-0042,APP-0001,Database Replication (CDC),API Gateway / iPaaS (MuleSoft),current_state,real_time,VP Distribution & E-Commerce,Data Governance Analyst — Commercial Domain,ungoverned_needs_review,false,"Feeds the enterprise data warehouse for distribution, sales & e-commerce reporting.",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/05_data_assets_integrations.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/05_data_assets_integrations.csv,universal-standard-v3,2,INT-0001,synthetic-demo,2207bedf8d3f5bdfaa324a9c9be086b0dc167c74a874590fd8be34c68a3bacf9,enriched_dense_synthetic_generation_2026_07,none,DAT-595a112ece
skyharbor-air,Passenger name record (PNR) data,"Distribution, Sales & E-Commerce",APP-0076,APP-0002,SOAP,API Gateway / iPaaS (MuleSoft),current_state,real_time,VP Distribution & E-Commerce,Data Governance Analyst — Operations Domain,ungoverned_needs_review,true,"Feeds downstream operational reporting for distribution, sales & e-commerce reporting.",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/05_data_assets_integrations.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/05_data_assets_integrations.csv,universal-standard-v3,3,INT-0002,synthetic-demo,2a5efe9ace76b8eb2495c1c59e5b75a1fa8bd55dfd5a47c54ca4b08a4f39b421,enriched_dense_synthetic_generation_2026_07,none,DAT-b9915b39e6
skyharbor-air,Offer and order messages,"Distribution, Sales & E-Commerce",APP-0002,APP-0004,SOAP,Informatica PowerCenter ETL,current_state,near_real_time,VP Distribution & E-Commerce,Data Governance Analyst — Operations Domain,governed_certified,false,"Feeds the enterprise data warehouse for distribution, sales & e-commerce reporting.",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/05_data_assets_integrations.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/05_data_assets_integrations.csv,universal-standard-v3,4,INT-0003,synthetic-demo,139590d97e3c15ea7e0444a0d6300138a8fdc8a54ee238028d2cd5c75dff7e25,enriched_dense_synthetic_generation_2026_07,none,DAT-7722b0e2d0
skyharbor-air,EDIFACT booking data,"Distribution, Sales & E-Commerce",APP-0002,APP-0005,SOAP,Confluent Kafka Event Backbone,current_state,daily_batch,VP Distribution & E-Commerce,Data Governance Analyst — Loyalty Domain,partially_governed,false,"Feeds Tableau Enterprise BI for distribution, sales & e-commerce reporting.",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/05_data_assets_integrations.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/05_data_assets_integrations.csv,universal-standard-v3,5,INT-0004,synthetic-demo,f08f8eb85501904f40b76ac08b690d1e6e48fc1e838751c1b7dbee0b7c3dcbdf,enriched_dense_synthetic_generation_2026_07,none,DAT-d4a5f3099b
skyharbor-air,EDIFACT booking data,"Distribution, Sales & E-Commerce",APP-0002,APP-0006,REST API,API Gateway / iPaaS (MuleSoft),current_state,nightly_batch,VP Distribution & E-Commerce,Data Governance Analyst — Loyalty Domain,partially_governed,false,"Feeds the enterprise data warehouse for distribution, sales & e-commerce reporting.",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/05_data_assets_integrations.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/05_data_assets_integrations.csv,universal-standard-v3,6,INT-0005,synthetic-demo,e66b6c5e0530ca7d1f746e5a4bfaaa1cc08539d2c76ed373c88f898d409b15f2,enriched_dense_synthetic_generation_2026_07,none,DAT-d4a5f3099b
skyharbor-air,Web booking session data,"Distribution, Sales & E-Commerce",APP-0002,APP-0007,EDI,EDI / B2B Trading Partner Gateway,current_state,hourly,VP Distribution & E-Commerce,Data Governance Analyst — MRO Domain,partially_governed,false,"Feeds Tableau Enterprise BI for distribution, sales & e-commerce reporting.",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/05_data_assets_integrations.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/05_data_assets_integrations.csv,universal-standard-v3,7,INT-0006,synthetic-demo,71728d5d600d0963d4252f1ec48b62019362bd9143c6670506d46281687f9bc6,enriched_dense_synthetic_generation_2026_07,none,DAT-cd7257dc4f
skyharbor-air,Mobile session and push-notification data,"Distribution, Sales & E-Commerce",APP-0007,APP-0008,Batch File Transfer (SFTP),Direct point-to-point,current_state,nightly_batch,VP Distribution & E-Commerce,Data Governance Analyst — MRO Domain,ungoverned_needs_review,false,"Feeds Power BI Premium (Finance & Ops) for distribution, sales & e-commerce reporting.",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/05_data_assets_integrations.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/05_data_assets_integrations.csv,universal-standard-v3,8,INT-0007,synthetic-demo,07da4bdb423a09c46b90cb2ccbdb9ae93d2eae7d281302f2395dacbdf88284da,enriched_dense_synthetic_generation_2026_07,none,DAT-f5875dddc3
skyharbor-air,Group and charter booking data,"Distribution, Sales & E-Commerce",APP-0001,APP-0009,Batch File Transfer (SFTP),Direct point-to-point,current_state,hourly,VP Distribution & E-Commerce,Data Governance Analyst — Loyalty Domain,partially_governed,false,"Feeds Tableau Enterprise BI for distribution, sales & e-commerce reporting.",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/05_data_assets_integrations.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/05_data_assets_integrations.csv,universal-standard-v3,9,INT-0008,synthetic-demo,1c4f2c3df6d917d6431d94aa24bfc9f7007a88b5074324e235c63b3ce43ac622,enriched_dense_synthetic_generation_2026_07,none,DAT-e243a88b9b
skyharbor-air,Corporate account and negotiated-fare data,"Distribution, Sales & E-Commerce",APP-0002,APP-0010,SOAP,API Gateway / iPaaS (MuleSoft),current_state,weekly,VP Distribution & E-Commerce,Data Governance Analyst — Finance Domain,partially_governed,false,"Feeds Snowflake — Commercial Analytics Domain for distribution, sales & e-commerce reporting.",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/05_data_assets_integrations.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/05_data_assets_integrations.csv,universal-standard-v3,10,INT-0009,synthetic-demo,9b414ec0071c7c922cd4769ec26a5549ae8abc76f211e7442231346a10c6ff97,enriched_dense_synthetic_generation_2026_07,none,DAT-a41fa636fe
skyharbor-air,Fare rule and routing data,Revenue Management & Pricing,APP-0043,APP-0011,SOAP,EDI / B2B Trading Partner Gateway,current_state,near_real_time,VP Revenue Management,Data Governance Analyst — Commercial Domain,governed_certified,false,Feeds the enterprise data warehouse for revenue management & pricing reporting.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/05_data_assets_integrations.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/05_data_assets_integrations.csv,universal-standard-v3,11,INT-0010,synthetic-demo,3a49ba9868e31e7a2eed4818f00957f7fda77eadbdfab18ddcf77953801b413f,enriched_dense_synthetic_generation_2026_07,none,DAT-60d6ca0be6
