tenant_key,source_id,source_version_id,source_name,source_kind,source_ref,source_version,source_date,as_of_date,ingested_at,source_owner,confidentiality,domains_covered,row_count_or_pages,content_fingerprint,approved_for_loading,quality_notes,known_gaps,supersedes_source_version_id
meridian-health,SRC-MERIDIANHEALTH-9D3BA262C9FE,SRCV-MERIDIANHEALTH-DF68E9391AB2,manifest_and_prompt,external_reference,manifest_and_prompt,2026-07-09,,2026-07-09,,AbarVa synthetic data steward,synthetic_demo_phi_free_planning_grade,,,,,content hash unavailable in historical source,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.",
meridian-health,SRC-MERIDIANHEALTH-375C80160EC4,SRCV-MERIDIANHEALTH-280D437E1F68,User-provided Meridian current-state brief,external_reference,Codex thread prompt 2026-07-09,2026-07-09,2026-07-09,2026-07-09,,AbarVa synthetic data steward,synthetic_demo_phi_free_planning_grade,,,,,operator_prompt | content hash unavailable in historical source,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.",
meridian-health,SRC-MERIDIANHEALTH-726319E90E1D,SRCV-MERIDIANHEALTH-E11458FE7107,Generated Meridian V6/V7 current-state pack,external_reference,datasets/meridian-health-v6-v7-current-state-v1,2026-07-09,2026-07-09,2026-07-09,,AbarVa synthetic data steward,synthetic_demo_phi_free_planning_grade,,,,,generated_dataset | content hash unavailable in historical source,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.",
meridian-health,SRC-MERIDIANHEALTH-2ED521E7CEC9,SRCV-MERIDIANHEALTH-FEB7BAE4006A,Meridian use-case priority list,external_reference,CDAO use cases from prompt,2026-07-09,2026-07-09,2026-07-09,,AbarVa synthetic data steward,synthetic_demo_phi_free_planning_grade,,,,,operator_prompt | content hash unavailable in historical source,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.",
meridian-health,SRC-MERIDIANHEALTH-837DCA040059,SRCV-MERIDIANHEALTH-00F7FDC837B9,V7 derivation anti-boilerplate quality gate,external_reference,out/meridian-v6-v7-current-state-v1,2026-07-09,2026-07-09,2026-07-09,,AbarVa synthetic data steward,synthetic_demo_phi_free_planning_grade,,,,,validation_report | content hash unavailable in historical source,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.",
meridian-health,SRC-MERIDIANHEALTH-FA49A67530D1,SRCV-MERIDIANHEALTH-DACA24CFA17A,meridian-health-v6-v7-current-state-v1,csv,V7_00_portfolio_entity_registry.csv,2026-07-09,2026-07-09,2026-07-09,,AbarVa synthetic data steward,synthetic_demo_phi_free_planning_grade,,,,,content hash unavailable in historical source,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.",
meridian-health,SRC-MERIDIANHEALTH-1A6C1271622A,SRCV-MERIDIANHEALTH-FE2CC853E0BB,meridian-health-v6-v7-current-state-v1,csv,V7_01_enterprise_profile.csv,2026-07-09,2026-07-09,2026-07-09,,AbarVa synthetic data steward,synthetic_demo_phi_free_planning_grade,,,,,content hash unavailable in historical source,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.",
meridian-health,SRC-MERIDIANHEALTH-37E8EEDB6932,SRCV-MERIDIANHEALTH-DB335E0458B0,meridian-health-v6-v7-current-state-v1,csv,V7_02_business_functions.csv,2026-07-09,2026-07-09,2026-07-09,,AbarVa synthetic data steward,synthetic_demo_phi_free_planning_grade,,,,,content hash unavailable in historical source,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.",
meridian-health,SRC-MERIDIANHEALTH-696E8A5352CB,SRCV-MERIDIANHEALTH-866179DCA6B8,meridian-health-v6-v7-current-state-v1,csv,V7_03_org_ownership.csv,2026-07-09,2026-07-09,2026-07-09,,AbarVa synthetic data steward,synthetic_demo_phi_free_planning_grade,,,,,content hash unavailable in historical source,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.",
meridian-health,SRC-MERIDIANHEALTH-B7E89B0B388C,SRCV-MERIDIANHEALTH-A5275E49A171,meridian-health-v6-v7-current-state-v1,csv,V7_04_workforce_personas.csv,2026-07-09,2026-07-09,2026-07-09,,AbarVa synthetic data steward,synthetic_demo_phi_free_planning_grade,,,,,content hash unavailable in historical source,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.",
