"target","reason","status","pattern","note"
"approved primary pack","old internal version language","pass","/\bV[4567]\b|\bv[4567]\b/",""
"approved primary pack","legacy dossier wording","pass","/\bdossier\b/i",""
"approved primary pack","internal substrate wording","pass","/\bsubstrate\b/i",""
"approved primary pack","internal projection wording","pass","/\bprojection\b/i",""
"approved primary pack","guidebook fallback wording","pass","/\bgeneric guidebook\b/i",""
"approved primary pack","unsupported realized ROI wording","pass","/\brealized ROI\b/i",""
"approved primary pack","unsupported realized savings wording","pass","/\brealized savings\b/i","safe negation or diagnostic context"
"approved primary pack","unsupported production AI readiness wording","pass","/\bproduction AI readiness\b/i","safe negation or diagnostic context"
"approved primary pack","AWS current certified production claim","pass","/\bAWS\b[^.]{0,80}\bcurrent certified production\b/i",""
"approved primary pack","Databricks current certified production claim","pass","/\bDatabricks\b[^.]{0,80}\bcurrent certified production\b/i",""
"approved primary pack","unsupported design placeholder value","pass","/\$210M|\$16\.8B|208 items|96 vendors/i",""
"approved mirror pack","old internal version language","pass","/\bV[4567]\b|\bv[4567]\b/",""
"approved mirror pack","legacy dossier wording","pass","/\bdossier\b/i",""
"approved mirror pack","internal substrate wording","pass","/\bsubstrate\b/i",""
"approved mirror pack","internal projection wording","pass","/\bprojection\b/i",""
"approved mirror pack","guidebook fallback wording","pass","/\bgeneric guidebook\b/i",""
"approved mirror pack","unsupported realized ROI wording","pass","/\brealized ROI\b/i",""
"approved mirror pack","unsupported realized savings wording","pass","/\brealized savings\b/i","safe negation or diagnostic context"
"approved mirror pack","unsupported production AI readiness wording","pass","/\bproduction AI readiness\b/i","safe negation or diagnostic context"
"approved mirror pack","AWS current certified production claim","pass","/\bAWS\b[^.]{0,80}\bcurrent certified production\b/i",""
"approved mirror pack","Databricks current certified production claim","pass","/\bDatabricks\b[^.]{0,80}\bcurrent certified production\b/i",""
"approved mirror pack","unsupported design placeholder value","pass","/\$210M|\$16\.8B|208 items|96 vendors/i",""
"UI component source","old internal version language","pass","/\bV[4567]\b|\bv[4567]\b/",""
"UI component source","legacy dossier wording","pass","/\bdossier\b/i",""
"UI component source","internal substrate wording","pass","/\bsubstrate\b/i",""
"UI component source","internal projection wording","pass","/\bprojection\b/i",""
"UI component source","guidebook fallback wording","pass","/\bgeneric guidebook\b/i",""
"UI component source","unsupported realized ROI wording","pass","/\brealized ROI\b/i",""
"UI component source","unsupported realized savings wording","pass","/\brealized savings\b/i",""
"UI component source","unsupported production AI readiness wording","pass","/\bproduction AI readiness\b/i",""
"UI component source","AWS current certified production claim","pass","/\bAWS\b[^.]{0,80}\bcurrent certified production\b/i",""
"UI component source","Databricks current certified production claim","pass","/\bDatabricks\b[^.]{0,80}\bcurrent certified production\b/i",""
"UI component source","unsupported design placeholder value","pass","/\$210M|\$16\.8B|208 items|96 vendors/i",""
