tenant_key,spend_category,cost_center_or_owner,annual_spend_usd,run_change_transform_split,vendor_internal_split,value_driver,savings_opportunity_usd,confidence,calculation_basis,source_file,source_date,known_gaps,original_source_file,original_packet,original_row_number,original_row_id,source_classification,source_fingerprint,consolidation_rule_used,conflict_status
lakeshore-industries,Corporate platforms run and licenses,,,,,,,,,datasets/tenant-inputs/active/lakeshore-industries/current/08_spend_value.csv,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use.",datasets/tenant-inputs/archive/lakeshore-industries/consolidated-20260714/holdco-pack/V7_08_spend_value.csv,holdco-pack,2,LSH-HOLDCO,synthetic-demo,c7a677ea2bea32e4d2c0108c746428516248bb22c01198058a6569426ca6bccb,retained_from_active_source,none
lakeshore-industries,Cybersecurity and identity,,,,,,,,,datasets/tenant-inputs/active/lakeshore-industries/current/08_spend_value.csv,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use.",datasets/tenant-inputs/archive/lakeshore-industries/consolidated-20260714/holdco-pack/V7_08_spend_value.csv,holdco-pack,3,LSH-HOLDCO,synthetic-demo,c7a677ea2bea32e4d2c0108c746428516248bb22c01198058a6569426ca6bccb,retained_from_active_source,none
lakeshore-industries,Data platform and semantic layer,,,,,,,,,datasets/tenant-inputs/active/lakeshore-industries/current/08_spend_value.csv,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use.",datasets/tenant-inputs/archive/lakeshore-industries/consolidated-20260714/holdco-pack/V7_08_spend_value.csv,holdco-pack,4,LSH-HOLDCO,synthetic-demo,c7a677ea2bea32e4d2c0108c746428516248bb22c01198058a6569426ca6bccb,retained_from_active_source,none
lakeshore-industries,Shared services automation factory,,,,,,,,,datasets/tenant-inputs/active/lakeshore-industries/current/08_spend_value.csv,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use.",datasets/tenant-inputs/archive/lakeshore-industries/consolidated-20260714/holdco-pack/V7_08_spend_value.csv,holdco-pack,5,LSH-HOLDCO,synthetic-demo,c7a677ea2bea32e4d2c0108c746428516248bb22c01198058a6569426ca6bccb,retained_from_active_source,none
lakeshore-industries,Finance / treasury modernization,,,,,,,,,datasets/tenant-inputs/active/lakeshore-industries/current/08_spend_value.csv,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use.",datasets/tenant-inputs/archive/lakeshore-industries/consolidated-20260714/holdco-pack/V7_08_spend_value.csv,holdco-pack,6,LSH-HOLDCO,synthetic-demo,c7a677ea2bea32e4d2c0108c746428516248bb22c01198058a6569426ca6bccb,retained_from_active_source,none
lakeshore-industries,Integration and API modernization,,,,,,,,,datasets/tenant-inputs/active/lakeshore-industries/current/08_spend_value.csv,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use.",datasets/tenant-inputs/archive/lakeshore-industries/consolidated-20260714/holdco-pack/V7_08_spend_value.csv,holdco-pack,7,LSH-HOLDCO,synthetic-demo,c7a677ea2bea32e4d2c0108c746428516248bb22c01198058a6569426ca6bccb,retained_from_active_source,none
lakeshore-industries,ITSM and employee service operations,,,,,,,,,datasets/tenant-inputs/active/lakeshore-industries/current/08_spend_value.csv,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use.",datasets/tenant-inputs/archive/lakeshore-industries/consolidated-20260714/holdco-pack/V7_08_spend_value.csv,holdco-pack,8,LSH-HOLDCO,synthetic-demo,c7a677ea2bea32e4d2c0108c746428516248bb22c01198058a6569426ca6bccb,retained_from_active_source,none
lakeshore-industries,Legal / procurement workflow modernization,,,,,,,,,datasets/tenant-inputs/active/lakeshore-industries/current/08_spend_value.csv,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use.",datasets/tenant-inputs/archive/lakeshore-industries/consolidated-20260714/holdco-pack/V7_08_spend_value.csv,holdco-pack,9,LSH-HOLDCO,synthetic-demo,c7a677ea2bea32e4d2c0108c746428516248bb22c01198058a6569426ca6bccb,retained_from_active_source,none
lakeshore-industries,Local application run and support,,,,,,,,,datasets/tenant-inputs/active/lakeshore-industries/current/08_spend_value.csv,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use.",datasets/tenant-inputs/archive/lakeshore-industries/consolidated-20260714/holdco-pack/V7_08_spend_value.csv,holdco-pack,10,LSH-OPCO-NLS,synthetic-demo,c7a677ea2bea32e4d2c0108c746428516248bb22c01198058a6569426ca6bccb,retained_from_active_source,conflict_resolved
lakeshore-industries,Industry operations platform modernization,,,,,,,,,datasets/tenant-inputs/active/lakeshore-industries/current/08_spend_value.csv,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use.",datasets/tenant-inputs/archive/lakeshore-industries/consolidated-20260714/holdco-pack/V7_08_spend_value.csv,holdco-pack,11,LSH-OPCO-NLS,synthetic-demo,c7a677ea2bea32e4d2c0108c746428516248bb22c01198058a6569426ca6bccb,retained_from_active_source,conflict_resolved
