module,source_object,projection_type,target_consumers,refresh_pattern,parity_test,rollback
Tower,cio_tower.facts,candidate shared projection,Cube; Nexus; aVa; Superset; Observable; module dashboards,Domain publication/outbox to stable consumption projection,Compare existing module output to projection output before switching consumers,Keep domain read path until projection parity and signed-in proof pass
Tower,cio_tower.mart_ai_portfolio,existing derived read model,Cube; Nexus; aVa; Superset; Observable; module dashboards,Domain publication/outbox to stable consumption projection,Compare existing module output to projection output before switching consumers,Keep domain read path until projection parity and signed-in proof pass
Tower,cio_tower.mart_command_center,existing derived read model,Cube; Nexus; aVa; Superset; Observable; module dashboards,Domain publication/outbox to stable consumption projection,Compare existing module output to projection output before switching consumers,Keep domain read path until projection parity and signed-in proof pass
Tower,cio_tower.mart_cxo_actions,existing derived read model,Cube; Nexus; aVa; Superset; Observable; module dashboards,Domain publication/outbox to stable consumption projection,Compare existing module output to projection output before switching consumers,Keep domain read path until projection parity and signed-in proof pass
Tower,cio_tower.mart_evidence_lineage,existing derived read model,Cube; Nexus; aVa; Superset; Observable; module dashboards,Domain publication/outbox to stable consumption projection,Compare existing module output to projection output before switching consumers,Keep domain read path until projection parity and signed-in proof pass
Tower,cio_tower.mart_program_decision_lanes,existing derived read model,Cube; Nexus; aVa; Superset; Observable; module dashboards,Domain publication/outbox to stable consumption projection,Compare existing module output to projection output before switching consumers,Keep domain read path until projection parity and signed-in proof pass
Tower,cio_tower.mart_required_field_gaps,existing derived read model,Cube; Nexus; aVa; Superset; Observable; module dashboards,Domain publication/outbox to stable consumption projection,Compare existing module output to projection output before switching consumers,Keep domain read path until projection parity and signed-in proof pass
Tower,cio_tower.mart_value_funnel,existing derived read model,Cube; Nexus; aVa; Superset; Observable; module dashboards,Domain publication/outbox to stable consumption projection,Compare existing module output to projection output before switching consumers,Keep domain read path until projection parity and signed-in proof pass
Tower,cio_tower.measure_results,candidate shared projection,Cube; Nexus; aVa; Superset; Observable; module dashboards,Domain publication/outbox to stable consumption projection,Compare existing module output to projection output before switching consumers,Keep domain read path until projection parity and signed-in proof pass
Tower,public.ai_control_atlas_context_packs,candidate shared projection,Cube; Nexus; aVa; Superset; Observable; module dashboards,Domain publication/outbox to stable consumption projection,Compare existing module output to projection output before switching consumers,Keep domain read path until projection parity and signed-in proof pass
Tower,public.ai_control_tower_lens_mv,existing derived read model,Cube; Nexus; aVa; Superset; Observable; module dashboards,Domain publication/outbox to stable consumption projection,Compare existing module output to projection output before switching consumers,Keep domain read path until projection parity and signed-in proof pass
Tower,public.tower_budget_rollups,candidate shared projection,Cube; Nexus; aVa; Superset; Observable; module dashboards,Domain publication/outbox to stable consumption projection,Compare existing module output to projection output before switching consumers,Keep domain read path until projection parity and signed-in proof pass
Tower,public.tower_cmdb_dependencies,candidate shared projection,Cube; Nexus; aVa; Superset; Observable; module dashboards,Domain publication/outbox to stable consumption projection,Compare existing module output to projection output before switching consumers,Keep domain read path until projection parity and signed-in proof pass
Tower,public.tower_dora_metrics,candidate shared projection,Cube; Nexus; aVa; Superset; Observable; module dashboards,Domain publication/outbox to stable consumption projection,Compare existing module output to projection output before switching consumers,Keep domain read path until projection parity and signed-in proof pass
Tower,public.tower_program_financials,candidate shared projection,Cube; Nexus; aVa; Superset; Observable; module dashboards,Domain publication/outbox to stable consumption projection,Compare existing module output to projection output before switching consumers,Keep domain read path until projection parity and signed-in proof pass
Tower,public.tower_vendor_spend,candidate shared projection,Cube; Nexus; aVa; Superset; Observable; module dashboards,Domain publication/outbox to stable consumption projection,Compare existing module output to projection output before switching consumers,Keep domain read path until projection parity and signed-in proof pass
