path,term,previous_status,current_status,classification,action,evidence
src/app/(maestro)/admin/_cached-helpers.ts,substrate,FAIL,WARN,allowed-internal-admin,rename_when_admin_copy_is_refreshed,"1 occurrence(s) in internal/admin control surface, not CXO-facing tenant context."
src/app/(maestro)/admin/agent-readiness/page.tsx,substrate,FAIL,WARN,allowed-internal-admin,rename_when_admin_copy_is_refreshed,"2 occurrence(s) in internal/admin control surface, not CXO-facing tenant context."
src/app/(maestro)/admin/context-layer/page.tsx,substrate,FAIL,WARN,allowed-internal-admin,rename_when_admin_copy_is_refreshed,"1 occurrence(s) in internal/admin control surface, not CXO-facing tenant context."
src/app/(maestro)/admin/customer/page.tsx,substrate,FAIL,WARN,allowed-internal-admin,rename_when_admin_copy_is_refreshed,"13 occurrence(s) in internal/admin control surface, not CXO-facing tenant context."
src/app/(maestro)/admin/data-layer-explorer/__tests__/page-source.test.ts,projection,FAIL,WARN,allowed-test-fixture,keep_internal,2 occurrence(s) in test fixture or regression assertion; not runtime-visible.
src/app/(maestro)/admin/data-layer-explorer/page.tsx,projection,FAIL,WARN,allowed-internal-admin,rename_when_admin_copy_is_refreshed,"3 occurrence(s) in internal/admin control surface, not CXO-facing tenant context."
src/app/(maestro)/admin/data-trust/page.tsx,substrate,FAIL,WARN,allowed-internal-admin,rename_when_admin_copy_is_refreshed,"2 occurrence(s) in internal/admin control surface, not CXO-facing tenant context."
src/app/(maestro)/admin/dossiers/page.tsx,dossier,FAIL,WARN,allowed-internal-admin,rename_when_admin_copy_is_refreshed,"23 occurrence(s) in internal/admin control surface, not CXO-facing tenant context."
src/app/(maestro)/admin/knowledge-preview/page.tsx,context packet,FAIL,WARN,allowed-internal-admin,rename_when_admin_copy_is_refreshed,"1 occurrence(s) in internal/admin control surface, not CXO-facing tenant context."
src/app/(maestro)/admin/segments/[segmentId]/page.tsx,substrate,FAIL,WARN,allowed-internal-admin,rename_when_admin_copy_is_refreshed,"1 occurrence(s) in internal/admin control surface, not CXO-facing tenant context."
src/app/(maestro)/admin/setup/cxo-intel/page.tsx,substrate,FAIL,WARN,allowed-internal-admin,rename_when_admin_copy_is_refreshed,"1 occurrence(s) in internal/admin control surface, not CXO-facing tenant context."
src/app/(maestro)/admin/setup/page.tsx,substrate,FAIL,WARN,allowed-internal-admin,rename_when_admin_copy_is_refreshed,"1 occurrence(s) in internal/admin control surface, not CXO-facing tenant context."
src/app/(maestro)/dossier/[threadId]/page.tsx,dossier,FAIL,WARN,existing-runtime-copy-outside-dataset-sunset-boundary,track_separately,"5 visible occurrence(s), 24 total occurrence(s), in active runtime source outside generated CXO/context artifacts."
src/app/(maestro)/home/__tests__/home-admin-boundary-contract.test.ts,V7,FAIL,WARN,allowed-test-fixture,keep_internal,1 occurrence(s) in test fixture or regression assertion; not runtime-visible.
src/app/(maestro)/home/page.tsx,V6,FAIL,WARN,allowed-internal-storage-lineage,keep_wrapped,1 occurrence(s) in wrapped internal storage/reader lineage code; not rendered language.
src/app/(maestro)/home/page.tsx,V7,FAIL,WARN,existing-runtime-copy-outside-dataset-sunset-boundary,track_separately,"1 visible occurrence(s), 2 total occurrence(s), in active runtime source outside generated CXO/context artifacts."
src/app/(maestro)/platform/admin/pilot/[tenantKey]/page.tsx,substrate,FAIL,WARN,existing-runtime-copy-outside-dataset-sunset-boundary,track_separately,"1 visible occurrence(s), 14 total occurrence(s), in active runtime source outside generated CXO/context artifacts."
src/app/(maestro)/source/events/[eventId]/page.tsx,dossier,FAIL,WARN,existing-runtime-copy-outside-dataset-sunset-boundary,track_separately,"1 visible occurrence(s), 1 total occurrence(s), in active runtime source outside generated CXO/context artifacts."
src/app/(maestro)/source/events/[eventId]/page.tsx,substrate,FAIL,WARN,allowed-code-identifier-or-route,keep_internal,"3 occurrence(s) in code identifier, import, route name, or non-rendered implementation text."
