resource_id,resource_type,name,location_or_region,environment,criticality,owner_team,monthly_cost_usd,notes,source_file,source_row,value_source
SHA-INF-001,ibm_z,IBM z16 Complex ATL-A,Atlanta DC,production,critical,SHA-IT-009,18400000,"CICS/DB2/MQ/COBOL reservations, loyalty, revenue accounting",family-2-technology-estate/F07_infrastructure-cloud.csv,2,tenant_file
SHA-INF-002,ibm_z,IBM z16 Complex MSP-B,Minneapolis DR,dr,critical,SHA-IT-009,9200000,Hot/warm DR for IBM Z estate,family-2-technology-estate/F07_infrastructure-cloud.csv,3,tenant_file
SHA-INF-003,aws_org,AWS Enterprise Landing Zone,global,production,critical,SHA-IT-010,14800000,Modern digital and data workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,4,tenant_file
SHA-INF-004,teradata,Teradata Vantage on AWS,us-east-1,production,critical,SHA-IT-011,12300000,EDW on AWS with 38PB compressed data,family-2-technology-estate/F07_infrastructure-cloud.csv,5,tenant_file
SHA-INF-005,sas_grid,SAS Grid Analytics,ATL Analytics DC,production,high,SHA-IT-011,4700000,"Revenue, loyalty, safety, and ops analytics models",family-2-technology-estate/F07_infrastructure-cloud.csv,6,tenant_file
SHA-INF-006,data_lake,AWS S3 Data Lake,us-east-1/us-west-2,production,critical,SHA-IT-011,7600000,"Operational, digital, loyalty, and aircraft data lake",family-2-technology-estate/F07_infrastructure-cloud.csv,7,tenant_file
SHA-INF-007,eventing,Kafka/MSK Event Backbone,AWS,production,critical,SHA-IT-012,4100000,"IROPS, airport, baggage, and digital events",family-2-technology-estate/F07_infrastructure-cloud.csv,8,tenant_file
SHA-INF-008,identity,Okta / Entra Hybrid IAM,global,production,critical,SHA-IT-015,3200000,Workforce and customer identity integration,family-2-technology-estate/F07_infrastructure-cloud.csv,9,tenant_file
SHA-INF-009,observability,Datadog / Splunk / CloudWatch,global,production,high,SHA-IT-014,5300000,SRE observability across hybrid estate,family-2-technology-estate/F07_infrastructure-cloud.csv,10,tenant_file
SHA-INF-010,network,Hub network and airport WAN,global hubs,production,critical,SHA-IT-010,8700000,Airport connectivity and edge resilience,family-2-technology-estate/F07_infrastructure-cloud.csv,11,tenant_file
SHA-INF-100,aws_account,SkyHarbor platform resource 1,ATL,dr,critical,SHA-IT-001,450000,Resource supports airport_ops workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,12,tenant_file
SHA-INF-101,linux_cluster,SkyHarbor platform resource 2,DTW,production,high,SHA-IT-002,700000,Resource supports cargo workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,13,tenant_file
SHA-INF-102,api_gateway,SkyHarbor platform resource 3,MSP,production,high,SHA-IT-003,950000,Resource supports premium_lounge workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,14,tenant_file
SHA-INF-103,data_center,SkyHarbor platform resource 4,JFK,production,high,SHA-IT-004,1200000,Resource supports deicing workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,15,tenant_file
SHA-INF-104,airport_edge,SkyHarbor platform resource 5,LAX,production,high,SHA-IT-005,1450000,Resource supports gate_planning workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,16,tenant_file
SHA-INF-105,backup_dr,SkyHarbor platform resource 6,SEA,production,critical,SHA-IT-006,1700000,Resource supports refunds workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,17,tenant_file
SHA-INF-106,aws_account,SkyHarbor platform resource 7,SLC,dr,high,SHA-IT-007,1950000,Resource supports vouchers workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,18,tenant_file
SHA-INF-107,linux_cluster,SkyHarbor platform resource 8,AWS us-east-1,production,high,SHA-IT-008,2200000,Resource supports travel_docs workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,19,tenant_file
SHA-INF-108,api_gateway,SkyHarbor platform resource 9,ATL,production,high,SHA-IT-009,2450000,Resource supports corporate_sales workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,20,tenant_file
SHA-INF-109,data_center,SkyHarbor platform resource 10,DTW,production,high,SHA-IT-010,2700000,Resource supports interline workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,21,tenant_file
SHA-INF-110,airport_edge,SkyHarbor platform resource 11,MSP,production,critical,SHA-IT-011,2950000,Resource supports alliance workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,22,tenant_file
SHA-INF-111,backup_dr,SkyHarbor platform resource 12,JFK,production,high,SHA-IT-012,450000,Resource supports regional_ops workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,23,tenant_file
SHA-INF-112,aws_account,SkyHarbor platform resource 13,LAX,dr,high,SHA-IT-013,700000,Resource supports catering workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,24,tenant_file
SHA-INF-113,linux_cluster,SkyHarbor platform resource 14,SEA,production,high,SHA-IT-014,950000,Resource supports fuel workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,25,tenant_file
SHA-INF-114,api_gateway,SkyHarbor platform resource 15,SLC,production,high,SHA-IT-015,1200000,Resource supports safety workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,26,tenant_file
SHA-INF-115,data_center,SkyHarbor platform resource 16,AWS us-east-1,production,critical,SHA-IT-016,1450000,Resource supports training workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,27,tenant_file
SHA-INF-116,airport_edge,SkyHarbor platform resource 17,ATL,production,high,SHA-IT-017,1700000,Resource supports identity workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,28,tenant_file
SHA-INF-117,backup_dr,SkyHarbor platform resource 18,DTW,production,high,SHA-IT-018,1950000,Resource supports payments_fraud workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,29,tenant_file
SHA-INF-118,aws_account,SkyHarbor platform resource 19,MSP,dr,high,SHA-IT-001,2200000,Resource supports retail_media workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,30,tenant_file
SHA-INF-119,linux_cluster,SkyHarbor platform resource 20,JFK,production,high,SHA-IT-002,2450000,Resource supports wifi_connectivity workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,31,tenant_file
SHA-INF-120,api_gateway,SkyHarbor platform resource 21,LAX,production,critical,SHA-IT-003,2700000,Resource supports airport_ops workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,32,tenant_file
SHA-INF-121,data_center,SkyHarbor platform resource 22,SEA,production,high,SHA-IT-004,2950000,Resource supports cargo workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,33,tenant_file
SHA-INF-122,airport_edge,SkyHarbor platform resource 23,SLC,production,high,SHA-IT-005,450000,Resource supports premium_lounge workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,34,tenant_file
SHA-INF-123,backup_dr,SkyHarbor platform resource 24,AWS us-east-1,production,high,SHA-IT-006,700000,Resource supports deicing workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,35,tenant_file
SHA-INF-124,aws_account,SkyHarbor platform resource 25,ATL,dr,high,SHA-IT-007,950000,Resource supports gate_planning workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,36,tenant_file
SHA-INF-125,linux_cluster,SkyHarbor platform resource 26,DTW,production,critical,SHA-IT-008,1200000,Resource supports refunds workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,37,tenant_file
SHA-INF-126,api_gateway,SkyHarbor platform resource 27,MSP,production,high,SHA-IT-009,1450000,Resource supports vouchers workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,38,tenant_file
SHA-INF-127,data_center,SkyHarbor platform resource 28,JFK,production,high,SHA-IT-010,1700000,Resource supports travel_docs workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,39,tenant_file
SHA-INF-128,airport_edge,SkyHarbor platform resource 29,LAX,production,high,SHA-IT-011,1950000,Resource supports corporate_sales workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,40,tenant_file
SHA-INF-129,backup_dr,SkyHarbor platform resource 30,SEA,production,high,SHA-IT-012,2200000,Resource supports interline workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,41,tenant_file
SHA-INF-130,aws_account,SkyHarbor platform resource 31,SLC,dr,critical,SHA-IT-013,2450000,Resource supports alliance workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,42,tenant_file
SHA-INF-131,linux_cluster,SkyHarbor platform resource 32,AWS us-east-1,production,high,SHA-IT-014,2700000,Resource supports regional_ops workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,43,tenant_file
SHA-INF-132,api_gateway,SkyHarbor platform resource 33,ATL,production,high,SHA-IT-015,2950000,Resource supports catering workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,44,tenant_file
SHA-INF-133,data_center,SkyHarbor platform resource 34,DTW,production,high,SHA-IT-016,450000,Resource supports fuel workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,45,tenant_file
