"area","criterion","score","evidence"
"CXO opening","Hero opens with enterprise story, not counts","1","Meridian Health is an integrated delivery network and health plan headquartered in Sacramento, California, serving members and patients across Northern California, Central California, and Nevada. Its operating context sp"
"Situation","Explains who the enterprise is and what Nexus understands","1","Meridian Health is an integrated delivery network and health plan headquartered in Sacramento, California, serving members and patients across Northern California, Central California, and Nevada. Its operating context spans clinical operations, health-plan operations, finance and actuarial, contact center and member experience, quality, and enterprise data and analytics — each carrying represented executive ownership by role, not yet confirmed by name. The current-state estate is real and substantial: Epic's clinical and analytics modules, a claims administration platform, eligibility and benefits, a knowledge base, and a wide fragmented reporting layer of on-prem SQL Server marts, Tableau, SAS, and Power BI. That breadth is also the constraint — analytics run on-premise and fragmented, with much of the capacity consumed by maintenance and ad hoc reporting rather than net-new delivery.

The strategic implication is that no AI use case, from member-service Agent Assist to payment integrity, can scale safely until a governed data spine exists. Today there is no certified medallion architecture, no patient/member identity spine in place, and no formal data governance operating model — these are target-state needs, not current production. Leadership should prioritize the governed lakehouse foundation as the enabling bet before advancing individual use cases, and the CDAO should certify data-product ownership and baselines as the first deliverable of a data governance workshop. This is planning-grade synthetic context for demonstration, not client production evidence."
"Complication","Names current-state fragmentation or constraints","1","Story references current-state healthcare technology and data fragmentation."
"Insight","Makes the context layer the hero","1","Story frames Nexus Knowledge as reusable enterprise context, not a one-off AI demo."
"Implication","Preserves target-state AWS/Databricks caveat","1","AWS and Databricks appear as target-state/future direction with production caveat."
"Action","Frames Agent Assist as one worked example and shows what context unlocks next","1","Agent Assist is positioned as one example of what the context layer unlocks."
"Use-case breadth","Shows context reuse beyond Agent Assist","1","Story includes multiple downstream enterprise use cases."
"Evidence gaps","Frames gaps as context investment opportunities","1","Top gaps include evidence requested plus module impact."
"Module next actions","Shows which module should handle next work","1","Module readiness covers Knowledge, Intelligence, Moves, Source, and Tower."
"No user-guide language","Visible narrative avoids product-manual phrasing","1","No forbidden user-guide phrases found in approved narrative artifacts."
"No unsafe claims","No realized value, production AI, or real-client overclaim","1","Claim guards stayed clean."
