tenant_key,client_display_name,v6_contract_version,business_object_family,record_id,record_name,source_system,source_owner,source_basis,source_file,source_row_number,as_of_date,period_start,period_end,refresh_frequency,confidence,synthetic_demo_flag,data_sensitivity,required_for_surfaces,allowed_answer_types,not_allowed_claims,known_gaps,created_at,updated_at,program_id,business_owner,technology_owner,executive_sponsor,phase,budget_usd,spend_to_date_usd,expected_value_usd,realized_value_usd,value_basis,status,target_date,dependencies,risks,decision_needed
apex-retail,Apex Retail Group,v6.0,program_initiative,APX-INIT-001,Retail lakehouse and customer inventory graph,v4_synthetic_pack,Chief Data Officer,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,2,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:target_date_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,APX-INIT-001,Chief Data Officer,Chief Data Officer,Chief Data Officer,mobilize,95000000,12000000,95000000,12000000,identity and item-location data quality,at_risk,data_thin:target_date_missing,identity and item-location data quality,identity and item-location data quality,identity and item-location data quality
apex-retail,Apex Retail Group,v6.0,program_initiative,APX-INIT-002,AI demand forecasting and replenishment,v4_synthetic_pack,Chief Merchandising Officer,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,3,2026-06-18,2026-01-01,2026-06-18,static_snapshot,high,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:target_date_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,APX-INIT-002,Chief Merchandising Officer,Chief Merchandising Officer,Chief Merchandising Officer,pilot,72000000,21000000,72000000,21000000,forecast explainability by category,scale_candidate,data_thin:target_date_missing,forecast explainability by category,forecast explainability by category,forecast explainability by category
apex-retail,Apex Retail Group,v6.0,program_initiative,APX-INIT-003,Store labor scheduling optimization,v4_synthetic_pack,COO,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,4,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:target_date_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,APX-INIT-003,COO,COO,COO,pilot,51000000,9000000,51000000,9000000,labor-rule integration and manager adoption,hold_until_evidence,data_thin:target_date_missing,labor-rule integration and manager adoption,labor-rule integration and manager adoption,labor-rule integration and manager adoption
apex-retail,Apex Retail Group,v6.0,program_initiative,APX-INIT-004,Shrink anomaly detection,v4_synthetic_pack,Chief Risk Officer,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,5,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:target_date_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,APX-INIT-004,Chief Risk Officer,Chief Risk Officer,Chief Risk Officer,build,68000000,6800000,68000000,6800000,camera/POS evidence linkage,at_risk,data_thin:target_date_missing,camera/POS evidence linkage,camera/POS evidence linkage,camera/POS evidence linkage
apex-retail,Apex Retail Group,v6.0,program_initiative,APX-INIT-005,Search and personalization AI,v4_synthetic_pack,Chief Digital Officer,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,6,2026-06-18,2026-01-01,2026-06-18,static_snapshot,high,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:target_date_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,APX-INIT-005,Chief Digital Officer,Chief Digital Officer,Chief Digital Officer,scale,84000000,42000000,84000000,42000000,consent and customer identity gaps,scale_candidate,data_thin:target_date_missing,consent and customer identity gaps,consent and customer identity gaps,consent and customer identity gaps
apex-retail,Apex Retail Group,v6.0,program_initiative,APX-INIT-006,Retail media measurement clean room,v4_synthetic_pack,Chief Marketing Officer,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,7,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:target_date_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,APX-INIT-006,Chief Marketing Officer,Chief Marketing Officer,Chief Marketing Officer,design,38000000,4000000,38000000,4000000,incrementality proof missing,hold_until_evidence,data_thin:target_date_missing,incrementality proof missing,incrementality proof missing,incrementality proof missing
apex-retail,Apex Retail Group,v6.0,program_initiative,APX-INIT-007,BOPIS exception prediction,v4_synthetic_pack,Chief Supply Chain Officer,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,8,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:target_date_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,APX-INIT-007,Chief Supply Chain Officer,Chief Supply Chain Officer,Chief Supply Chain Officer,pilot,34000000,7400000,34000000,7400000,store inventory accuracy,scale_candidate,data_thin:target_date_missing,store inventory accuracy,store inventory accuracy,store inventory accuracy
apex-retail,Apex Retail Group,v6.0,program_initiative,APX-INIT-008,Returns fraud triage,v4_synthetic_pack,Chief Risk Officer,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,9,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:target_date_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,APX-INIT-008,Chief Risk Officer,Chief Risk Officer,Chief Risk Officer,build,26000000,3200000,26000000,3200000,fairness and customer friction review,at_risk,data_thin:target_date_missing,fairness and customer friction review,fairness and customer friction review,fairness and customer friction review
apex-retail,Apex Retail Group,v6.0,program_initiative,APX-INIT-009,Finance margin bridge automation,v4_synthetic_pack,CFO,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,10,2026-06-18,2026-01-01,2026-06-18,static_snapshot,high,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:target_date_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,APX-INIT-009,CFO,CFO,CFO,pilot,24000000,5800000,24000000,5800000,vendor funding lineage,scale_candidate,data_thin:target_date_missing,vendor funding lineage,vendor funding lineage,vendor funding lineage
apex-retail,Apex Retail Group,v6.0,program_initiative,APX-INIT-010,ServiceNow store support agent,v4_synthetic_pack,VP IT Operations,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,11,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:target_date_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,APX-INIT-010,VP IT Operations,VP IT Operations,VP IT Operations,pilot,18000000,2400000,18000000,2400000,knowledge base quality,hold_until_evidence,data_thin:target_date_missing,knowledge base quality,knowledge base quality,knowledge base quality
