agent_id,agent_name,business_process,work_items_resolved,deflection_pct,exception_rate_pct,human_escalation_pct,approval_status,risk_note,source_file,source_row,value_source
MER-AGENT-001,Databricks AWS clinical + claims lakehouse foundation agent/workflow,Enterprise data,900,12,4.8,22.0,restricted,PHI/model governance and source evidence missing,ai-control-tower/T04_agent-outcomes.csv,2,tenant_file
MER-AGENT-002,Unified semantic layer for automation-ready data products agent/workflow,Data governance,1610,14,5.5,21.2,approved_pilot,data quality and semantic ownership not certified,ai-control-tower/T04_agent-outcomes.csv,3,tenant_file
MER-AGENT-003,Prior authorization automation evidence cockpit agent/workflow,Utilization management,2320,16,6.2,20.4,approved_pilot,workflow integration not proven,ai-control-tower/T04_agent-outcomes.csv,4,tenant_file
MER-AGENT-004,Call center agent assist and next-best-action agent/workflow,Member experience,3030,18,6.9,19.6,review_required,value measurement needs CFO signoff,ai-control-tower/T04_agent-outcomes.csv,5,tenant_file
MER-AGENT-005,HEDIS/STAR provider quality performance mart agent/workflow,Clinical quality,3740,20,7.6,18.8,approved_pilot,PHI/model governance and source evidence missing,ai-control-tower/T04_agent-outcomes.csv,6,tenant_file
MER-AGENT-006,Cost-of-care and margin transparency by population agent/workflow,Finance,4450,22,8.3,18.0,restricted,data quality and semantic ownership not certified,ai-control-tower/T04_agent-outcomes.csv,7,tenant_file
MER-AGENT-007,Payment integrity leakage reduction analytics agent/workflow,Claims integrity,5160,24,9.0,17.2,review_required,workflow integration not proven,ai-control-tower/T04_agent-outcomes.csv,8,tenant_file
MER-AGENT-008,Automated close and management reporting pipelines agent/workflow,Finance operations,5870,26,9.7,16.4,approved_pilot,value measurement needs CFO signoff,ai-control-tower/T04_agent-outcomes.csv,9,tenant_file
MER-AGENT-009,Ambient documentation scale with safety review agent/workflow,Clinical productivity,6580,28,10.4,15.6,approved_pilot,PHI/model governance and source evidence missing,ai-control-tower/T04_agent-outcomes.csv,10,tenant_file
MER-AGENT-010,Epic to lakehouse FHIR/HL7 modernization agent/workflow,Interoperability,7290,30,11.1,14.8,review_required,data quality and semantic ownership not certified,ai-control-tower/T04_agent-outcomes.csv,11,tenant_file
MER-AGENT-011,Provider network contract analytics agent/workflow,Provider network,8000,32,11.8,14.0,restricted,workflow integration not proven,ai-control-tower/T04_agent-outcomes.csv,12,tenant_file
MER-AGENT-012,Responsible AI and PHI model governance operating model agent/workflow,Governance,8710,34,12.5,13.2,approved_pilot,value measurement needs CFO signoff,ai-control-tower/T04_agent-outcomes.csv,13,tenant_file
MER-AGENT-013,M365 Copilot non-clinical adoption agent/workflow,Productivity,9420,36,13.2,12.4,review_required,PHI/model governance and source evidence missing,ai-control-tower/T04_agent-outcomes.csv,14,tenant_file
MER-AGENT-014,ServiceNow Now Assist IT operations agent/workflow,IT operations,10130,38,13.9,11.6,approved_pilot,data quality and semantic ownership not certified,ai-control-tower/T04_agent-outcomes.csv,15,tenant_file
