tenant_key,evidence_id,source_version_id,evidence_type,evidence_summary,locator_type,locator,source_record_id,dimension_keys,business_object_refs,classification,confidence,evidence_date,approved_for_use,known_gaps,content_fingerprint
apex-retail,APX-EVID-001,SRCV-APEXRETAIL-4E48F7A07F3C,document_excerpt,source-docs/Apex_Retail_AI_Portfolio_and_Value_Readout_SYNTHETIC.md,section,section-1,APX-INIT-001,,,review_required,medium,2026-06-18,,none,7d8509f91beb1af4f2961eef3c69ac0850db1a16a07fa7a7c764ee2d00406c4b
apex-retail,APX-EVID-002,SRCV-APEXRETAIL-4E48F7A07F3C,document_excerpt,source-docs/Apex_Retail_AI_Portfolio_and_Value_Readout_SYNTHETIC.md,section,section-2,APX-INIT-002,,,approved,medium,2026-06-18,,none,c9c140fee5737f5594fe55291564466d6b6bbc5e7273e1ea275d19c8dcb551fb
apex-retail,APX-EVID-003,SRCV-APEXRETAIL-4E48F7A07F3C,document_excerpt,source-docs/Apex_Retail_AI_Portfolio_and_Value_Readout_SYNTHETIC.md,section,section-3,APX-INIT-003,,,approved,medium,2026-06-18,,none,de3cdd86d60aeb0e117f2e1a6f6b509a7b0e871b22dbfe62e6cd13709b380e9b
apex-retail,APX-EVID-004,SRCV-APEXRETAIL-4E48F7A07F3C,document_excerpt,source-docs/Apex_Retail_AI_Portfolio_and_Value_Readout_SYNTHETIC.md,section,section-4,APX-INIT-004,,,approved,medium,2026-06-18,,none,7fe1f0d54cf3f4f45837db53812d12ad3e9afc54d1c933ebb40454de217e3f24
apex-retail,APX-EVID-005,SRCV-APEXRETAIL-4E48F7A07F3C,document_excerpt,source-docs/Apex_Retail_AI_Portfolio_and_Value_Readout_SYNTHETIC.md,section,section-5,APX-INIT-005,,,approved,medium,2026-06-18,,none,a9e6a2685f419acacbae21c954cf2f976a7f433567c1b1906a21f0e59c5e085b
apex-retail,APX-EVID-006,SRCV-APEXRETAIL-4E48F7A07F3C,document_excerpt,source-docs/Apex_Retail_AI_Portfolio_and_Value_Readout_SYNTHETIC.md,section,section-6,APX-INIT-006,,,review_required,medium,2026-06-18,,none,8131d6a3f8dabae84d2582a3e96fb528b736d280285bd7077fdc5e610f2567a3
apex-retail,APX-EVID-007,SRCV-APEXRETAIL-4E48F7A07F3C,document_excerpt,source-docs/Apex_Retail_AI_Portfolio_and_Value_Readout_SYNTHETIC.md,section,section-7,APX-INIT-007,,,approved,medium,2026-06-18,,none,27908ca696972900471e783577033697b8189517afe939172c7bcf1b89d118c2
apex-retail,APX-EVID-008,SRCV-APEXRETAIL-4E48F7A07F3C,document_excerpt,source-docs/Apex_Retail_AI_Portfolio_and_Value_Readout_SYNTHETIC.md,section,section-8,APX-INIT-008,,,approved,medium,2026-06-18,,none,faac7d2d3b72adfd4297280ca3443e03f16d6d6c401c1e642dcc5f92e1b3f29c
apex-retail,APX-EVID-009,SRCV-APEXRETAIL-4E48F7A07F3C,document_excerpt,source-docs/Apex_Retail_AI_Portfolio_and_Value_Readout_SYNTHETIC.md,section,section-9,APX-INIT-009,,,approved,medium,2026-06-18,,none,90904f3b2067c087cbf06fbf24d05223a8ec1bf8632f211b79a2aed89a7c14c2
apex-retail,APX-EVID-010,SRCV-APEXRETAIL-4E48F7A07F3C,document_excerpt,source-docs/Apex_Retail_AI_Portfolio_and_Value_Readout_SYNTHETIC.md,section,section-10,APX-INIT-010,,,approved,medium,2026-06-18,,none,bda7b4220ce608f69552858139395e90f5b4b6f6f2009378be6d17aac4f2f384
apex-retail,APX-EVID-011,SRCV-APEXRETAIL-4E48F7A07F3C,document_excerpt,source-docs/Apex_Retail_AI_Portfolio_and_Value_Readout_SYNTHETIC.md,section,section-11,APX-INIT-011,,,review_required,medium,2026-06-18,,none,503d993d67f9814e063ecd0d325356d4fb861bb798733f98773665f33b9747b5
apex-retail,APX-EVID-012,SRCV-APEXRETAIL-4E48F7A07F3C,document_excerpt,source-docs/Apex_Retail_AI_Portfolio_and_Value_Readout_SYNTHETIC.md,section,section-12,APX-INIT-012,,,approved,medium,2026-06-18,,none,056af2a2da3c0f1ceba54b1a3c0213eca9f244a573ff6e3062d0dd65e94c9d0d
apex-retail,APX-EVID-013,SRCV-APEXRETAIL-4E48F7A07F3C,document_excerpt,source-docs/Apex_Retail_AI_Portfolio_and_Value_Readout_SYNTHETIC.md,section,section-13,APX-INIT-013,,,approved,medium,2026-06-18,,none,fd94e8b9dbf67617f1a9baf26e47938be0c3e504b8486603712ff790967a5ef6
apex-retail,APX-EVID-014,SRCV-APEXRETAIL-4E48F7A07F3C,document_excerpt,source-docs/Apex_Retail_AI_Portfolio_and_Value_Readout_SYNTHETIC.md,section,section-14,APX-INIT-014,,,approved,medium,2026-06-18,,none,401a3bc3ed3b93c03f3c7f09e7f8d2581fcde960113c48beb81657576d82bc48
