kpi_id,name,definition,formula,source_system,data_owner,business_owner,refresh_cadence,current_value,trend,target_fy2026,confidence_in_measurement,leading_or_lagging,tier,benchmark_source,notes
kpi:apex:001,Revenue,Total net revenue across all channels,GAAP definition per 10-K,sys:apex:sap-s4,person:apex:james-wright,person:apex:margaret-chen,Daily (T-1),"$2.41B FY2025",+1.4% YoY,$2.52B,High,Lagging,Executive,Public 10-K filing,Reported externally
kpi:apex:002,Comparable Store Sales,YoY sales change in stores open >12mo,Std retail definition,sys:apex:sap-s4,person:apex:james-wright,person:apex:david-okonjo,Weekly,-2.1%,Down,+1.5%,High,Lagging,Executive,NRF + peer 10-Ks,Critical retail KPI
kpi:apex:003,E-commerce Revenue,Net e-commerce revenue,Standard,sys:apex:salesforce-commerce,person:apex:james-wright,person:apex:priya-iyer,Daily (T-1),"$748M",+18.2% YoY,$870M,High,Lagging,Executive,Internal,Strong growth
kpi:apex:004,EBITDA Margin,Adjusted EBITDA / Revenue,Standard,sys:apex:sap-s4,person:apex:james-wright,person:apex:margaret-chen,Quarterly,11.8% FY2025,Down 130bp,12.6%,High,Lagging,Executive,Public peers,Recovery target
kpi:apex:005,Gross Margin,Gross profit / Revenue,Standard,sys:apex:sap-s4,person:apex:james-wright,person:apex:angela-foster,Daily (T-1),38.4%,Down 80bp,39.2%,High,Lagging,Executive,Internal,Markdown impact
kpi:apex:006,Inventory Turn,COGS / Avg Inventory,Standard,sys:apex:sap-s4,person:apex:james-wright,person:apex:michael-tanaka,Monthly,3.6x,Down from 4.2 (FY2023),3.9x,High,Lagging,Department,Internal,Forecast accuracy a key driver
kpi:apex:007,Inventory Forecast Accuracy (MAPE),Mean absolute % error at SKU-store-week,Std forecast accuracy,sys:apex:ovaa-planning,person:apex:michael-tanaka,person:apex:michael-tanaka,Weekly,28.4%,Worsening from 24% (FY2023),20%,Medium — note caveats,Leading,Department,Industry NRF data,"Currently measured at SKU-store-week; caveats: doesn't account for new SKUs without history; bias toward under-forecast in promotions; instrumentation pre-dates current promotional dynamics"
kpi:apex:008,Stockout Rate,% of SKU-store-day combinations with zero inventory,Internal calc,sys:apex:sap-s4,person:apex:michael-tanaka,person:apex:michael-tanaka,Daily,4.2%,Up from 3.1% (FY2024),3.0%,Medium,Leading,Department,Internal,Driven partly by allocation drift
kpi:apex:009,Sell-Through Rate (week 6),% of initial allocation sold in first 6 weeks,Internal calc,sys:apex:retalix-allocation,person:apex:angela-foster,person:apex:angela-foster,Weekly,62%,Down from 68% (FY2023),70%,Medium,Leading,Department,Internal,Allocation effectiveness
kpi:apex:010,Markdown Rate,Markdown $ / Initial $,Standard,sys:apex:sap-s4,person:apex:james-wright,person:apex:angela-foster,Weekly,12.8%,Up,11.0%,High,Lagging,Department,Internal,Margin pressure source
kpi:apex:011,Customer NPS (Post-Interaction),NPS score from post-interaction survey at 24h,Standard NPS,sys:apex:zendesk,person:apex:james-wright,person:apex:jennifer-park,Monthly,42,Down from 48 (FY2024),50,"Medium — see caveats",Lagging,Department,Industry retail benchmark,"Measured 24h post-interaction; 22% response rate; biased toward extreme experiences (positive and negative); not comparable to NPS measured at other touchpoints"
kpi:apex:012,Customer Satisfaction Survey (CSAT),CSAT score (1-5) post-interaction,Standard CSAT,sys:apex:zendesk,person:apex:james-wright,person:apex:jennifer-park,Monthly,4.1,Down from 4.3 (FY2024),4.4,Medium,Lagging,Department,Internal,Same caveats as NPS
kpi:apex:013,Loyalty Member Count,Active members (purchase in last 12mo),Std loyalty defn,sys:apex:salesforce-core,person:apex:james-wright,person:apex:jennifer-park,Daily,14.2M,Up from 12.8M (FY2024),16.0M,High,Lagging,Department,Internal,Strong growth
kpi:apex:014,Loyalty Penetration,% of revenue from loyalty members,Std calc,sys:apex:sap-s4,person:apex:james-wright,person:apex:jennifer-park,Monthly,71%,Up,75%,High,Lagging,Department,Internal,High adoption
kpi:apex:015,Identity Match Rate,% of customer records matched across source systems,Internal calc,sys:apex:snowflake,person:apex:james-wright,person:apex:lynne-stratham,Monthly,71%,Stable,87%,Medium,Leading,Department,Internal,"Critical for CDP program; gap from 87% target driven by deferred legacy CRM source + email-only records"
kpi:apex:016,Customer Acquisition Cost (Digital),Marketing $ / new customers acquired digitally,Std calc,sys:apex:google-analytics-360,person:apex:priya-iyer,person:apex:jennifer-park,Monthly,$84,Up from $68 (FY2024),$78,High,Leading,Department,Industry e-comm benchmarks,"Digital marketing inflation"
kpi:apex:017,Customer Lifetime Value (3-year),Predicted 3-year value from cohort,Internal model,sys:apex:snowflake,person:apex:james-wright,person:apex:jennifer-park,Quarterly,$340,Stable,$370,"Low — model accuracy questioned",Leading,Department,Internal,"Model has not been refit since 2023; results are directionally useful but precision is low; fix on roadmap"
kpi:apex:018,Contact Center Containment,% of contacts resolved without agent,Internal calc,sys:apex:nice-cxone,person:apex:priya-iyer,person:apex:priya-iyer,Daily,28%,Stable,40%,Medium — see caveats,Leading,Department,Industry CC benchmarks,"Driver of CC AI program; current containment is from IVR + chatbot; AI uplift target ~12 points"
kpi:apex:019,Average Handle Time (AHT),Average call duration end-to-end,Std,sys:apex:nice-cxone,person:apex:priya-iyer,person:apex:priya-iyer,Daily,7.2 min,Up from 6.4 (FY2024),6.5 min,High,Lagging,Department,Industry CC benchmarks,"Up due to harder calls reaching agents (easy calls deflected)"
kpi:apex:020,First Call Resolution,% of contacts resolved in first contact,Std,sys:apex:nice-cxone,person:apex:priya-iyer,person:apex:priya-iyer,Daily,68%,Stable,75%,Medium,Lagging,Department,Industry CC,"Same caveats as containment"
kpi:apex:021,Agent Utilization,% of agent time on contacts,Std,sys:apex:nice-cxone,person:apex:priya-iyer,person:apex:priya-iyer,Daily,84%,High,80%,High,Leading,Department,Industry CC,"Above target — capacity strain"
kpi:apex:022,Loyalty Program Engagement Score,Composite engagement metric,Internal,sys:apex:snowflake,person:apex:james-wright,person:apex:jennifer-park,Monthly,N/A,Not currently measured,Define and measure,"Low — not currently measured",Leading,Department,Internal,"Defined but not instrumented; on roadmap"
kpi:apex:023,Email Open Rate,Std email metric,Std,sys:apex:klaviyo,person:apex:priya-iyer,person:apex:jennifer-park,Daily,18.4%,Down from 22%,22%,High,Leading,Department,Industry,"Industry-wide decline post Apple MPP"
kpi:apex:024,Email Click Rate,Std email metric,Std,sys:apex:klaviyo,person:apex:priya-iyer,person:apex:jennifer-park,Daily,2.1%,Stable,2.5%,High,Leading,Department,Industry,"Healthy"
kpi:apex:025,Cart Abandonment Rate,% of carts abandoned without purchase,Std,sys:apex:salesforce-commerce,person:apex:priya-iyer,person:apex:jennifer-park,Daily,68%,Stable,65%,High,Leading,Department,Industry e-comm,"Standard for category"
kpi:apex:026,Returns Rate (Apparel),% of apparel revenue returned,Std,sys:apex:sap-s4,person:apex:james-wright,person:apex:angela-foster,Monthly,18.4%,Up,16%,High,Lagging,Department,Industry,"Apparel pressure point"
kpi:apex:027,Store Conversion Rate,% of visits resulting in transaction (counted),Std,sys:apex:oracle-retail-pos,person:apex:vacant-store-tech,person:apex:david-okonjo,Daily,22%,Stable,24%,Medium,Leading,Department,Industry,"Counter accuracy varies by store"
kpi:apex:028,Average Transaction Value,Avg sale per transaction,Std,sys:apex:sap-s4,person:apex:james-wright,person:apex:angela-foster,Daily,$84,Up,$87,High,Leading,Department,Internal,"Healthy"
kpi:apex:029,Sales per Labor Hour,Std,Std,sys:apex:sap-s4,person:apex:james-wright,person:apex:david-okonjo,Weekly,$320,Stable,$340,High,Leading,Department,Industry,"Labor optimization tool driving"
