tenant_key,client_display_name,v6_contract_version,business_object_family,record_id,record_name,source_system,source_owner,source_basis,source_file,source_row_number,as_of_date,period_start,period_end,refresh_frequency,confidence,synthetic_demo_flag,data_sensitivity,required_for_surfaces,allowed_answer_types,not_allowed_claims,known_gaps,created_at,updated_at,vendor_id,vendor_name,contract_id,service,annual_cost_usd,renewal_date,owning_function,linked_systems,contract_risk,pricing_basis
skyharbor-air,Airline Demo,v6.0,vendor_contract,CON-00001,SAP,v4_synthetic_pack,Technology Vendor Management,synthetic_demo,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,2,2026-06-18,2026-01-01,2026-09-04,static_snapshot,medium,synthetic_demo,confidential,Source|Tower|Intelligence,renewal|commercial_risk|vendor_dependency|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,CON-00001,SAP,CON-00001,Passenger servicing platform services,600000,2026-09-04,Technology,Reservations,Renewal concentration,Enterprise subscription
skyharbor-air,Airline Demo,v6.0,vendor_contract,CON-00002,Infosys,v4_synthetic_pack,Technology Vendor Management,synthetic_demo,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,3,2026-06-18,2026-01-01,2028-05-21,static_snapshot,medium,synthetic_demo,confidential,Source|Tower|Intelligence,renewal|commercial_risk|vendor_dependency|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,CON-00002,Infosys,CON-00002,Crew productivity platform services,645000,2028-05-21,Finance,Crew Operations,Usage under-adoption,Consumption
skyharbor-air,Airline Demo,v6.0,vendor_contract,CON-00003,Informatica,v4_synthetic_pack,Technology Vendor Management,synthetic_demo,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,4,2026-06-18,2026-01-01,2026-12-09,static_snapshot,medium,synthetic_demo,confidential,Source|Tower|Intelligence,renewal|commercial_risk|vendor_dependency|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,CON-00003,Informatica,CON-00003,Operational recovery platform services,690000,2026-12-09,Operations,Flight Operations,Integration dependency,Named user
skyharbor-air,Airline Demo,v6.0,vendor_contract,CON-00004,Informatica,v4_synthetic_pack,Technology Vendor Management,synthetic_demo,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,5,2026-06-18,2026-01-01,2026-05-10,static_snapshot,medium,synthetic_demo,confidential,Source|Tower|Intelligence,renewal|commercial_risk|vendor_dependency|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,CON-00004,Informatica,CON-00004,Customer loyalty platform services,735000,2026-05-10,Commercial,Loyalty,Data-exit risk,Committed spend
skyharbor-air,Airline Demo,v6.0,vendor_contract,CON-00005,Amadeus,v4_synthetic_pack,Technology Vendor Management,synthetic_demo,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,6,2026-06-18,2026-01-01,2027-08-07,static_snapshot,medium,synthetic_demo,confidential,Source|Tower|Intelligence,renewal|commercial_risk|vendor_dependency|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,CON-00005,Amadeus,CON-00005,Maintenance planning platform services,780000,2027-08-07,Risk,Maintenance,Renewal concentration,Enterprise subscription
skyharbor-air,Airline Demo,v6.0,vendor_contract,CON-00006,IBM,v4_synthetic_pack,Technology Vendor Management,synthetic_demo,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,7,2026-06-18,2026-01-01,2027-07-31,static_snapshot,medium,synthetic_demo,confidential,Source|Tower|Intelligence,renewal|commercial_risk|vendor_dependency|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,CON-00006,IBM,CON-00006,IROPS response platform services,825000,2027-07-31,Technology,Irregular Operations,Usage under-adoption,Consumption
skyharbor-air,Airline Demo,v6.0,vendor_contract,CON-00007,Oracle,v4_synthetic_pack,Technology Vendor Management,synthetic_demo,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,8,2026-06-18,2026-01-01,2027-02-21,static_snapshot,medium,synthetic_demo,confidential,Source|Tower|Intelligence,renewal|commercial_risk|vendor_dependency|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,CON-00007,Oracle,CON-00007,Passenger servicing platform services,870000,2027-02-21,Finance,Reservations,Integration dependency,Named user
skyharbor-air,Airline Demo,v6.0,vendor_contract,CON-00008,Red Hat,v4_synthetic_pack,Technology Vendor Management,synthetic_demo,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,9,2026-06-18,2026-01-01,2025-07-04,static_snapshot,medium,synthetic_demo,confidential,Source|Tower|Intelligence,renewal|commercial_risk|vendor_dependency|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,CON-00008,Red Hat,CON-00008,Crew productivity platform services,915000,2025-07-04,Operations,Crew Operations,Data-exit risk,Committed spend
skyharbor-air,Airline Demo,v6.0,vendor_contract,CON-00009,Accenture,v4_synthetic_pack,Technology Vendor Management,synthetic_demo,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,10,2026-06-18,2026-01-01,2028-11-29,static_snapshot,medium,synthetic_demo,confidential,Source|Tower|Intelligence,renewal|commercial_risk|vendor_dependency|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,CON-00009,Accenture,CON-00009,Operational recovery platform services,960000,2028-11-29,Commercial,Flight Operations,Renewal concentration,Enterprise subscription
skyharbor-air,Airline Demo,v6.0,vendor_contract,CON-00010,Informatica,v4_synthetic_pack,Technology Vendor Management,synthetic_demo,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,11,2026-06-18,2026-01-01,2028-09-10,static_snapshot,medium,synthetic_demo,confidential,Source|Tower|Intelligence,renewal|commercial_risk|vendor_dependency|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,CON-00010,Informatica,CON-00010,Customer loyalty platform services,1005000,2028-09-10,Risk,Loyalty,Usage under-adoption,Consumption
